product_name,quantity,nutrition_score,carbon_footprint,co2_packaging,store_count,country count,ingredients,Satisfaction
Nestlé Dessert,205g,21,17.110287748,0.10429359,4,5,52%,9
Chocolat Noir Corsé,200 g,18,17.110287748,0.10429359,7,3,65%,10
NESTLE DESSERT Chocolat Noir Absolu,170 g,17,17.110287748,0.10429359,4,2,70%,6
Chocolat noir 80% Équateur intense et floral,100 g,16,17.110287748,0.10429359,8,3,80%,11
NESTLE DESSERT Noir 205g,205 g,21,17.110287748,0.10429359,2,1,53%,3
Chocolat noir 74%,100 g,16,17.110287748,0.10429359,2,1,74%,3
Chocolat noir pour préparation pâtissière,205 g,21,17.110287748,0.10429359,1,5,52%,6
CHOC NR BOLIVIE BIO,100 g,14,17.110287748,0.10429359,4,1,88%,5
Chocolat noir 70%,100 g,17,17.110287748,0.10429359,1,1,70%,2
Chocolat noir fruité,100 g,17,17.110287748,0.10429359,3,2,70%,5
72% cacao noir,80 g,18,17.110287748,0.10429359,2,3,72%,5
NESTLE L'ATELIER - Carrés Noir 70% - 210g,210 g,17,17.110287748,0.10429359,3,1,70%,4
Noir dégustation  pur beurre de cacao 74% de cacao BIO,100 g,17,17.110287748,0.10429359,1,2,70%,3
L'envoûtant chocolat noir 70%,100 g,18,17.110287748,0.10429359,1,1,70%,2
Dégustation noir équateur boisé,80 g,18,17.110287748,0.10429359,2,1,90%,3
NESTLE L'ATELIER BIO 80% 80g,80 g,16,17.110287748,0.10429359,1,1,80%,2
Chocolat noir noisettes entière,200 g,19,17.110287748,0.10429359,1,1,50%,2
Tablette de chocolat au lait et noisettes entières bio,100 g,23,12.741300238,0.10429359,4,1,34%,5
Chocolat noir fleur de sel 70%,100 g,19,17.110287748,0.10429359,1,1,70%,2
NESTLE DESSERT Noir 2X205g,410 g,21,17.110287748,0.10429359,0,1,53%,1
NESTLE L'ATELIER - Carrés Noir Eclats cacao - 192g,192 g,18,17.110287748,0.10429359,3,2,64%,5
Noir dégustation 85% de cacao intense,100 g,15,17.110287748,0.10429359,2,3,85%,5
Chocolat noir 85%,100 g,15,17.110287748,0.10429359,2,1,85%,3
Noir dégustation Pérou BIO Fairtrade,100 g,15,17.110287748,0.10429359,2,2,85%,4
Chocolat noir 85% Tanzanie,100 g,15,17.110287748,0.10429359,2,1,85%,3
Chocolat noir dégustation aux pépites au café,100 g,21,17.110287748,0.10429359,1,2,51%,3
Chocolat noir et pointe de sel,100 g,21,17.110287748,0.10429359,1,1,47%,2
tablette de Chocolat à patisser,200 g,21,17.110287748,0.10429359,3,1,52%,4
NESTLE DESSERT Noir 3x205g,615 g,21,17.110287748,0.10429359,1,1,53%,2
Tablette de chocolat noir et noisettes entières,200 g,19,17.110287748,0.10429359,2,1,54%,3
Chocolat lait 41%,100 g,23,12.741300238,0.10429359,1,1,41%,2
Chocolat noir amandes entières,200 g,19,17.110287748,0.10429359,2,1,50%,3
Chocolat noir patissier,175 g,21,17.110287748,0.10429359,3,1,52%,4
NESTLE L'ATELIER BIO Noir Raisin Noisettes 170g,170 g,20,,,0,2,57%,2
Noir 90% Cacao,,15,17.110287748,0.10429359,2,1,90%,3
NESTLE DESSERT Caramel 170g,170 g,23,12.741300238,0.10429359,3,2,37%,5
Noir extra - pur beurre de cacao,400 g,21,17.110287748,0.10429359,3,1,47%,4
,180 g,18,17.110287748,0.10429359,1,2,70%,3
Noir 100% dattes graines de courge et sésame toasté,100 g,19,17.110287748,0.10429359,0,1,100%,1
chocolat bio noir Pérou 70% fleur de sel de Camargue,,18,17.110287748,0.10429359,1,1,70%,2
Chocolat Noir Aux Eclats de Fèves de Cacao Caramélisés Bio,100 g,18,17.110287748,0.10429359,2,2,97%,4
Noir extra 72%,200 g,18,17.110287748,0.10429359,1,1,72%,2
NESTLE L'ATELIER Noir Orange confite 115g,115 g,20,4.363517368,0.10429359,6,2,54%,8
Chocolat noir côte d'Ivoire 95%,80 g,12,17.110287748,0.10429359,1,1,95%,2
Chocolat blanc,100 g,20,11.318443968,0.10429359,1,1,23%,2
Tablette de chocolat au lait fourré praliné et éclats de noisettes caramélisés,150 g,24,12.741300238,0.10429359,2,1,30%,3
Tablette de chocolat noir dégustation 72% d'éclats fèves de cacao,100 g,18,17.110287748,0.10429359,1,1,72%,2
Tablette de chocolat noir 74% de cacao d'Equateur,100 g,17,17.110287748,0.10429359,2,1,74%,3
Chocolat au lait pâtissier,170 g,23,12.741300238,0.10429359,1,1,39%,2
Chocolat Noir au Sel Rose de l'himalaya,100 g,21,17.110287748,0.10429359,3,1,60%,4
BIO LAIT,150 g,25,12.741300238,0.10429359,2,1,37%,3
Pick Up! Noisette 5x28G - Bahlsen,140 g,21,5.918971723,0.11013799,3,1,6%,4
Tablette de chocolat noir aux amandes,200 g,18,17.110287748,0.10429359,1,1,54%,2
Tablette de chocolat au lait,100 g,23,6.738600583,0.11010835,2,1,40%,3
Tablette de chocolat au lait et aux noisettes entières,200 g,21,12.741300238,0.10429359,1,1,32%,2
Tablette de chocolat noir aux amandes,100 g,20,17.110287748,0.10429359,2,1,60%,3
Tablette dégustation chocolat noir 60% de cacao et fleur de sel,100 g,20,17.110287748,0.10429359,2,1,72%,3
Chocolat lait noisettes,200 g,22,12.741300238,0.10429359,1,1,33%,2
Noir noisettes torréfiées,100g,18,17.110287748,0.10429359,1,2,62%,3
Villars Chocol.liqueur Kirsch Couverture Noir Tablette 100G,100 g,20,17.110287748,0.10429359,1,1,53%,2
NESTLE DESSERT Noir Absolu 3x170g,510 g,17,17.110287748,0.10429359,1,1,70%,2
Lait Éclats de Caramel & Céréales Soufflées,100 g,28,12.741300238,0.10429359,1,2,30%,3
NESTLE L'ATELIER BIO Lait Raisin Noisettes 170g,170 g,23,12.741300238,0.10429359,0,1,40%,1
Chocolat noir aux cristaux de Fleur de Sel,100 g,23,17.110287748,0.10429359,2,1,47%,3
Tableau d'honneur Chocolat Blanc,150 g,26,5.918971723,0.11013799,1,1,27%,2
Tablette de chocolat noir dégustation 72% d'écorces d'orange,100 g,18,4.363517368,0.10429359,2,1,72%,3
Petit beurre,150 g,25,5.918971723,0.11013799,0,1,46%,1
Chocolat noir,500 g,20,17.110287748,0.10429359,1,1,43%,2
Noir Extra,3 x 100 g,21,17.110287748,0.10429359,1,1,47%,2
Tony's chocolonely,,26,12.741300238,0.10429359,1,3,32%,4
Choc'o Fair chocolat blanc,200 g,27,11.318443968,0.10429359,0,1,25%,1
Chocolat noir bio 74% dégustation,100 g,16,17.110287748,0.10429359,2,1,74%,3
Tablettes de chocolat dégustation 3 variétés noir 70%,180 g,18,17.110287748,0.10429359,1,1,70%,2
Chocolat noir noix de pécan,200 g,20,17.110287748,0.10429359,1,1,50%,2
Chocolat noir corsé pâtissier,200 g,20,17.110287748,0.10429359,1,1,64%,2
Chocolat au lait aux amandes brisées caramélisées et pointe de sel,200 g,26,12.741300238,0.10429359,1,1,30%,2
Tablette de chocolat amande,200 g,25,17.110287748,0.10429359,1,2,33%,3
Chocolat noir degustation 70% de cacao,100g,17,17.110287748,0.10429359,1,1,70%,2
Chocolat au lait familial 3x,100 g,24,12.741300238,0.10429359,1,1,30%,2
,100 g,19,17.110287748,0.10429359,2,1,60%,3
Tablette de chocolat noir fourré à la truffe fantaisie,150 g,21,17.110287748,0.10429359,2,1,49%,3
Tablette de chocolat corsé à pâtisser noir 64%,200 g,20,17.110287748,0.10429359,2,1,64%,3
Tablette de chocolat au lait et noisettes caramélisées,100 g,23,12.741300238,0.10429359,2,1,40%,3
Tablette de chocolat noir 76% de cacao du Sao Tomé,100 g,17,17.110287748,0.10429359,2,1,76%,3
Chocolat Noir 70% à l'agave,100 g,23,17.110287748,0.10429359,0,1,70%,1
Tablette de chocolat noir 100%,70 g,17,17.110287748,0.10429359,0,1,100%,1
Chocolat dessert pâtissier,2 x 200 g,21,17.110287748,0.10429359,1,1,52%,2
Chocolat noir feves de cacao,100 g,20,17.110287748,0.10429359,1,1,55%,2
Chocolat noir tablette,200 g,21,17.110287748,0.10429359,0,1,50%,1
Frigor Noir,100 g,21,17.110287748,0.10429359,1,3,46%,4
Chocolat noir noisettes entières,200 g,24,17.110287748,0.10429359,2,1,55%,3
Chocolat pâtissier,200 g,11,17.110287748,0.10429359,0,1,44%,1
Noir - Sucre de Fleur de Coco,100 g,16,17.110287748,0.10429359,2,3,70%,5
Chocolat au lait familial 3x,3 x 100 g,24,,,1,1,30%,2
Chocolat Noir st domingue aux eclats de postaches,100 g,16,17.110287748,0.10429359,1,1,72%,2
Petit Beurre avec tablette de chocolat au lait BIO (lot de 2),300 g (2 x 150 g),25,5.918971723,0.11013799,1,1,36%,2
Choco crac' Chocolat au lait 2 tablettes Aux cereales Croustillantes. Pur beurre de cacao.,,28,12.741300238,0.10429359,1,1,30%,2
Tablettes chocolat noir,160 g,,,,1,1,60%,2
Tablette d’Or Lait Céréales croustillantes,,27,12.741300238,0.10429359,0,1,30%,1
Chocolat noir écorces d'orange,200 g,21,4.363517368,0.10429359,1,1,50%,2
Chocolat au lait extra-fin fourré lait,2 x 100 g,,,,1,1,30%,2
Rayon,100 g,26,12.741300238,0.10429359,1,2,28%,3
NESTLE DESSERT Corsé 2 x 200g,400 g,18,17.110287748,0.10429359,3,1,64%,4
,200 g,24,12.741300238,0.10429359,1,2,32%,3
Chocolat noir dégustation,200 g,16,17.110287748,0.10429359,1,1,72%,2
Chocolat supérieur Lait praliné Nougatine,150 g,24,12.741300238,0.10429359,2,1,30%,3
Noir Tanzanie 85% aux amandes effilées intense et croquant,100 g,14,17.110287748,0.10429359,1,1,85%,2
Chocolat à pâtisser blanc,175 g,27,11.318443968,0.10429359,1,1,25%,2
Tablette de chocolat au lait avec éclats de noisettes,3 unités de 100 g,25,12.741300238,0.10429359,1,1,30%,2
Tablette de chocolat au lait aux amandes,200 g,22,12.741300238,0.10429359,1,1,32%,2
Chocolat noir 71% aux fruits secs,180 g,17,17.110287748,0.10429359,1,1,34%,2
Chocolat noir à l'orange 74%,100 g,17,4.363517368,0.10429359,1,1,74%,2
Chocolat au Lait,3 x 100 g,25,12.741300238,0.10429359,1,1,30%,2
Chocolat au lait et aux noisettes,3 x 100 g,22,12.741300238,0.10429359,1,1,30%,2
Chocolat Lait Raisins et Noisettes,200 g,23,12.741300238,0.10429359,1,1,30%,2
tablette d'or praliné lait aux éclats de noisettes caramélisés,150 g,24,12.741300238,0.10429359,1,1,30%,2
NESTLE DESSERT Noir 2X205g,410 g,21,17.110287748,0.10429359,2,1,53%,3
NESTLE DESSERT Noir 2X205g,410 g,21,17.110287748,0.10429359,1,2,52%,3
NESTLE DESSERT Lait 2 x170g,340 g,23,,,0,1,39%,1
Butter biscuit with white bar,,25,6.738600583,0.11010835,0,1,28%,1
Lindt Excellence Cassis Intense,100 g,25,17.110287748,0.10429359,0,2,48%,2
Noir éclats de fèves biologique,100 g,17,17.110287748,0.10429359,1,1,70%,2
Tablette lait 41% cacao 3 céréales,100 g,23,12.741300238,0.10429359,5,1,4%,6
72 % NOIR,100 grammes,17,17.110287748,0.10429359,1,1,72%,2
Les Grandes 34% noisettes,150g,,17.110287748,0.10429359,1,1,13%,2
Tablette de chocolat Excellence 99% Cacao,50 g,12,17.110287748,0.10429359,0,1,99%,1
Palets réduits en sucres Chocolat noir,100 g,15,17.110287748,0.10429359,0,1,53%,1
Tablette De Chocolat Noisettes,200g,,,,0,1,30%,1
Noir dégustation aux écorces d'oranges confites,100 g,18,4.363517368,0.10429359,1,1,70%,2
Chocolat lait noisette bio,200 g,26,12.741300238,0.10429359,1,1,40%,2
Biscuits & Chocolat fourré au lait,125 g,27,5.918971723,0.11013799,1,1,33%,2
Tablette de chocolat noir supérieur,3 unités de 100 g,21,17.110287748,0.10429359,1,1,47%,2
Chocolat lait pays alpin,100 g,26,12.741300238,0.10429359,2,1,30%,3
Tablette de chocolat blanc à pâtisser,180 g,26,11.318443968,0.10429359,2,1,25%,3
Tablette de chocolat au lait alpin, 300 g,26,12.741300238,0.10429359,1,1,30%,2
Tablette de chocolat noir 72% de cacao du Vénézuéla,100 g,17,17.110287748,0.10429359,2,1,72%,3
TABLETTE CHOCOLAT AULAIT ET FLEUR DE SEL,100 g,31,,,0,1,99%,1
Lait Amandes Sel de Guérande,100 g,29,12.741300238,0.10429359,1,1,36%,2
Chocolat noir fourré mousse,160 g,20,17.110287748,0.10429359,1,1,44%,2
Chocolat noir allégé en sucre,2 x 100 g,17,17.110287748,0.10429359,1,1,47%,2
Chocolat Noir Fourré menthe,150 g,21,17.110287748,0.10429359,1,1,48%,2
Chocolat lait fourré caramel,125 g,,,,1,1,30%,2
Chocolat pâtissier lait et 5 épices,175 g,25,12.741300238,0.10429359,3,1,30%,4
Tablette Chocolat Noir 74% Fourré Pur Fruit Cassis Bio,100 g,17,,,0,1,74%,1
Chocolat lait riz soufllé,100g,26,12.741300238,0.10429359,0,2,32%,2
Villars Chocolat noir amandes la tablette de 300 g,300 g,18,17.110287748,0.10429359,0,1,50%,1
NESTLE DESSERT Noir 5x205 g - Lot SEB,1025 g,21,17.110287748,0.10429359,1,1,53%,2
Petit beurre milk,150 g,27,6.738600583,0.11010835,1,1,2055%,2
NESTLE DESSERT Chocolat Noir lot de 2x205g,410 g,21,17.110287748,0.10429359,0,1,52%,1
Tablette de chocolat Lindt Lait noisettes,2,,,,1,1,30%,2
Chocolat noir amande coco,100 g,19,17.110287748,0.10429359,1,1,55%,2
Tablette de chocolat noir bio saveur orange,100 g,24,17.110287748,0.10429359,1,1,60%,2
Tablette de chocolat noir aux oranges confites,120 g,21,4.363517368,0.10429359,1,1,51%,2
Tablette de chocolat au lait caramel à la pointe de sel,120 g,34,12.741300238,0.10429359,1,1,35%,2
Tablette de chocolat au lait,120 g,25,12.741300238,0.10429359,1,1,35%,2
Duets de xocolata blanca,150 g,27,6.738600583,0.11010835,0,1,28%,1
Chocolat noir au cacao cru et à la cacahuète,80g,17,17.110287748,0.10429359,1,1,70%,2
Chocolat noir 85% République Dominicaine Bio et Équitable,10 kg,15,17.110287748,0.10429359,0,3,85%,3
Chocolat Noir Dessert Pâtissier 56% Bio et Équitable,20 kg,21,17.110287748,0.10429359,0,3,56%,3
Tablette chocolat lait,50g,25,12.741300238,0.10429359,1,1,34%,2
Tablette Noir doux 56% cacao 3 céréales,100 g,19,17.110287748,0.10429359,2,1,4%,3
70% Ecuador,100 grammes,18,17.110287748,0.10429359,1,1,70%,2
Isaura Chocolat au lait décoré,100g,24,12.741300238,0.10429359,0,1,31%,1
Tablette Chocolat Noir Au Grué De Cacao,,24,17.110287748,0.10429359,0,1,63%,1
N°3 Saint-Domingue Noir 70%,80 g,21,17.110287748,0.10429359,1,1,70%,2
Tablette N°1 Côte d'Ivoire Noir 70%,80 g e,22,17.110287748,0.10429359,1,1,70%,2
N°6 Caramel à La Fleur De Sel,80 g e,26,12.741300238,0.10429359,1,1,36%,2
Recette originale - Chocolat double au lait,2X110g,26,12.741300238,0.10429359,3,1,30%,4
Chocolat noir dégustation éclats de fèves de cacao,100 g,17,17.110287748,0.10429359,2,1,72%,3
Chocolat supérieur Noir truffé,150 g,21,17.110287748,0.10429359,1,1,49%,2
Lait Raisins & Noisettes,2 x 100 g,27,,,1,1,30%,2
Mini tablettes de chocolat noir,200 g,16,17.110287748,0.10429359,1,1,72%,2
Petit beurre avec tablette de chocolat blanc,150 g,25,5.918971723,0.11013799,1,1,27%,2
Tablette de chocolat noir fourré à la menthe,150 g,20,17.110287748,0.10429359,2,1,48%,3
Tablette de chocolat noir fourré et pépites à la framboise,150 g,21,17.110287748,0.10429359,1,1,48%,2
Tablette de chocolat au lait croustillant,2 x 100 g,27,12.741300238,0.10429359,1,1,30%,2
Tablette de chocolat au lait extra raisins et noisettes,200 g,23,12.741300238,0.10429359,1,1,32%,2
Tablette de chocolat noir aux éclats de noix de macadamia,100 g,20,17.110287748,0.10429359,1,1,55%,2
Tablettes chocolat noisette,160 g,,,,1,1,35%,2
tablette degustation chocolat au lait bio,100 g,27,12.741300238,0.10429359,1,1,40%,2
tablette degustation chocolat au lait,100 g,27,12.741300238,0.10429359,1,1,35%,2
Chocolat blanc dessert,175 g,27,11.318443968,0.10429359,1,1,25%,2
Tablette Chocolat Au Lait Praslines - 100 G - Mazet,100 g,,,,0,1,38%,1
Noir Sélection Pérou,100 g,17,17.110287748,0.10429359,0,2,75%,2
Chocolat,90 g,22,17.110287748,0.10429359,0,1,70%,1
La Tablette by Mathez Truffes Fantaisie caramel,95g,26,12.741300238,0.10429359,0,1,30%,1
Tablette chocolat lait noisettes,,26,12.741300238,0.10429359,0,1,34%,1
Chocolat au lait et au riz,2 x 100 g,27,12.741300238,0.10429359,1,1,30%,2
Chocolat noir fourré praliné,150 g,21,17.110287748,0.10429359,1,1,49%,2
Chocolat au lait fourré mousse,160 g,26,12.741300238,0.10429359,1,1,27%,2
Chocolat au lait allégé en sucre,2 x 100 g,18,12.741300238,0.10429359,1,1,30%,2
Tablette d'Or - Les allégés lait,100g,19,12.741300238,0.10429359,1,1,30%,2
Palets pâtissier chocolat noir 55% cacao,200 g,20,17.110287748,0.10429359,1,1,55%,2
Chocolat Noir Éclats D'Amandes Bio & équitable,100g,19,17.110287748,0.10429359,2,1,60%,3
Chocolat de ménage au lait,200 g,23,12.741300238,0.10429359,1,1,24%,2
Dark 85% cocoa - Chocolat belge noir,85g,10,17.110287748,0.10429359,1,2,80%,3
Pur Chocolat Suisse Swiss milk chocolate with apricot liqueur filling,100 g e,25,12.741300238,0.10429359,3,2,31%,5
Tablette n°311 - Chocolat noir & éclats de cacao,100gr,23,17.110287748,0.10429359,0,2,71%,2
NESTLE DESSERT Praliné 2 x 170g,340 g,24,12.741300238,0.10429359,0,1,36%,1
NESTLE DESSERT Lait 3 x 170g,510 g,23,17.110287748,0.10429359,1,1,39%,2
Dessert Chocolat au lait le lot de 2 tablettes de 170 g,340 g,23,12.741300238,0.10429359,1,1,39%,2
Chocolate negro almendras & avellanas,195g,24,17.110287748,0.10429359,0,1,54%,1
Chocolat Lait Noisettes Migros Bio,100g,24,12.741300238,0.10429359,1,1,30%,2
Milka in colors,100 g,26,12.741300238,0.10429359,1,1,30%,2
Carré gourmands,400 g (2x200g),25,12.741300238,0.10429359,2,1,30%,3
Chocolat au lait en tablette,100 g,27,12.741300238,0.10429359,0,1,33%,1
Tablette lait,100 g,28,12.741300238,0.10429359,0,1,39%,1
Mini tablette chocolat lait amande,,26,12.741300238,0.10429359,0,1,42%,1
Chocolat noir fleur de sel 70% cacao,100 g,20,17.110287748,0.10429359,2,1,70%,3
Chocolat noir à la fleur de sel bio Fair trade,100 g,20,17.110287748,0.10429359,1,1,70%,2
Chocolat au lait et aux noisettes entières bio,200 g,23,12.741300238,0.10429359,0,1,30%,1
2 Mini tablettes à croquer,2 x 75 g,23,12.741300238,0.10429359,0,1,33%,1
Tablette chocolat noir,,21,,,0,1,52%,1
Chocolat noir,125g,,,,0,1,70%,1
Praliné chocolat noir,200 g,21,17.110287748,0.10429359,0,1,49%,1
Chocolat au lait tablette,4 x 110 g,26,12.741300238,0.10429359,0,1,30%,1
Lapins au chocolat,110 g,25,12.741300238,0.10429359,1,1,33%,2
Chocolat noir Equateur 85%,,20,17.110287748,0.10429359,1,1,85%,2
Chocolat noir Amande,100 g,17,17.110287748,0.10429359,0,1,65%,1
Je t'aime,30 g,26,12.741300238,0.10429359,0,1,31%,1
Karma coconut choco,75 g,18,12.741300238,0.10429359,1,2,43%,3
Ma tablette de chocolat noir,50g,27,17.110287748,0.10429359,1,1,70%,2
